chrom	start	end	snps	F2_POST.1:F2_PRE.1	F2_POST.1:F3_POST_A.1	F2_POST.1:F3_POST_B.1	F2_POST.1:F3_PRE_A.1	F2_POST.1:F3_PRE_B.1	F2_PRE.1:F3_POST_A.1	F2_PRE.1:F3_POST_B.1	F2_PRE.1:F3_PRE_A.1	F2_PRE.1:F3_PRE_B.1	F3_POST_A.1:F3_POST_B.1	F3_POST_A.1:F3_PRE_A.1	F3_POST_A.1:F3_PRE_B.1	F3_POST_B.1:F3_PRE_A.1	F3_POST_B.1:F3_PRE_B.1	F3_PRE_A.1:F3_PRE_B.1
tci2_wsi3.0_chr_1	2100001	2200000	8341	0.0930499	0.0923526	0.0951535	0.0945939	0.094485	0.0913851	0.0937271	0.092739	0.0944073	0.092041	0.0921074	0.0917098	0.0939643	0.0937672	0.0916558
tci2_wsi3.0_chr_1	2200001	2300000	10518	0.100504	0.100251	0.103934	0.10609	0.102799	0.100201	0.103907	0.106894	0.102378	0.102617	0.105142	0.101578	0.110598	0.106793	0.108537
tci2_wsi3.0_chr_1	2300001	2400000	8946	0.106833	0.105427	0.105235	0.108149	0.108495	0.103463	0.104799	0.106592	0.107573	0.103033	0.106457	0.106072	0.106625	0.105616	0.10822
tci2_wsi3.0_chr_1	2400001	2500000	13255	0.110061	0.111566	0.112052	0.109963	0.11336	0.110732	0.111541	0.110882	0.112744	0.11203	0.1116	0.11348	0.113066	0.115497	0.112678
tci2_wsi3.0_chr_1	2500001	2600000	14049	0.097428	0.0972023	0.0972262	0.0965255	0.0974157	0.0981981	0.0986447	0.0980204	0.0986793	0.0976461	0.0974626	0.0983234	0.0976387	0.098114	0.0968726
tci2_wsi3.0_chr_1	2600001	2700000	11200	0.11095	0.121367	0.121844	0.118489	0.119506	0.121962	0.123008	0.119598	0.1213	0.123581	0.122134	0.123748	0.122443	0.124506	0.122089
tci2_wsi3.0_chr_1	2700001	2800000	8638	0.096635	0.0978741	0.0994804	0.101238	0.101562	0.0982883	0.100228	0.10336	0.105193	0.100129	0.104248	0.105732	0.105728	0.10709	0.108571
tci2_wsi3.0_chr_1	2800001	2900000	11500	0.0985011	0.0979427	0.0985377	0.102814	0.100641	0.100583	0.101069	0.106338	0.103777	0.10035	0.104772	0.102292	0.105696	0.103137	0.108059
tci2_wsi3.0_chr_1	2900001	3000000	12913	0.106946	0.108193	0.108431	0.112958	0.11269	0.107837	0.108728	0.11158	0.112521	0.108696	0.113031	0.113493	0.114499	0.115027	0.117649
tci2_wsi3.0_chr_1	3000001	3100000	7950	0.0943196	0.0926591	0.095452	0.0930683	0.0937873	0.0932699	0.0966344	0.0959013	0.0956122	0.0943499	0.0932377	0.0933503	0.0950461	0.0961602	0.0949196
tci2_wsi3.0_chr_1	3100001	3200000	8022	0.0929207	0.0947105	0.0954849	0.0978915	0.0984276	0.0948405	0.0953723	0.0989003	0.0979912	0.0957177	0.0996842	0.0996333	0.0987625	0.0989848	0.103528
tci2_wsi3.0_chr_1	3200001	3300000	10815	0.0904367	0.0858641	0.0877169	0.0907392	0.088425	0.0879081	0.089367	0.0925793	0.0898013	0.0843933	0.0884625	0.0860304	0.0898917	0.0879597	0.0906722
tci2_wsi3.0_chr_1	3300001	3400000	8807	0.0914655	0.0913073	0.0911739	0.0931865	0.0947031	0.0926776	0.0922403	0.0940363	0.0959342	0.0917471	0.0955875	0.0958444	0.0945014	0.0947804	0.0965974
tci2_wsi3.0_chr_1	3400001	3500000	7126	0.112668	0.110927	0.111386	0.11585	0.11595	0.109721	0.109815	0.113769	0.114688	0.107247	0.11342	0.113782	0.112561	0.112351	0.118129
tci2_wsi3.0_chr_1	3500001	3600000	11672	0.117767	0.118481	0.117415	0.117985	0.119413	0.118503	0.117569	0.117986	0.120277	0.117511	0.119601	0.120287	0.118452	0.119969	0.119445
tci2_wsi3.0_chr_1	3600001	3700000	9025	0.0837569	0.0844275	0.0838519	0.0836566	0.0840995	0.0861562	0.0853206	0.0858113	0.0865047	0.0860943	0.0856977	0.0868737	0.0848306	0.0862125	0.0853823
tci2_wsi3.0_chr_1	3700001	3800000	8370	0.103365	0.100454	0.100744	0.101169	0.103407	0.0976205	0.0977637	0.0991855	0.100342	0.095223	0.0972693	0.09781	0.0983319	0.0980752	0.0987657
tci2_wsi3.0_chr_1	3800001	3900000	4377	0.0960403	0.0891801	0.0897624	0.0909654	0.0906089	0.0891669	0.0907405	0.0948595	0.0938436	0.0839694	0.0891651	0.0886577	0.088039	0.0887265	0.0903638
tci2_wsi3.0_chr_1	3900001	4000000	6915	0.102272	0.0998309	0.100059	0.100924	0.0998019	0.101819	0.101085	0.100961	0.100288	0.0968184	0.0993652	0.0987539	0.099632	0.098434	0.0993853
tci2_wsi3.0_chr_1	4000001	4100000	10610	0.0915956	0.0908719	0.0910953	0.0935627	0.093501	0.0907063	0.0914126	0.094219	0.0950131	0.0901459	0.0915409	0.0921345	0.09271	0.0934054	0.0945604
tci2_wsi3.0_chr_1	4100001	4200000	5470	0.0985022	0.0971417	0.0991089	0.107865	0.102485	0.0933975	0.0939653	0.100966	0.0988387	0.0923071	0.100294	0.0985607	0.101879	0.0987563	0.107379
tci2_wsi3.0_chr_1	4200001	4300000	10295	0.105942	0.104567	0.104588	0.108379	0.10765	0.104541	0.103724	0.108128	0.107449	0.101535	0.106268	0.107323	0.106476	0.106961	0.109668
tci2_wsi3.0_chr_1	4300001	4400000	10779	0.105937	0.106776	0.110485	0.112918	0.113842	0.103375	0.10611	0.108165	0.109913	0.105423	0.108107	0.109159	0.111798	0.112908	0.113778
tci2_wsi3.0_chr_1	4400001	4500000	13484	0.0930762	0.0917921	0.0943258	0.0916935	0.0929593	0.0911643	0.0924958	0.0909073	0.0913918	0.0920004	0.0907408	0.0917789	0.0922441	0.0931872	0.0908321
tci2_wsi3.0_chr_1	4500001	4600000	7834	0.103772	0.104798	0.106346	0.108365	0.110446	0.102558	0.104709	0.106271	0.107931	0.102939	0.105239	0.108655	0.108144	0.109443	0.11153
tci2_wsi3.0_chr_1	4600001	4700000	12611	0.100903	0.100334	0.103954	0.101504	0.100482	0.101992	0.104004	0.102103	0.102012	0.102782	0.100835	0.100992	0.104123	0.103462	0.101064
tci2_wsi3.0_chr_1	4700001	4800000	10074	0.0987924	0.0965238	0.0982081	0.103516	0.103763	0.0988366	0.0992689	0.104082	0.103965	0.0952626	0.101895	0.102589	0.103035	0.103405	0.108883
tci2_wsi3.0_chr_1	4800001	4900000	10102	0.106473	0.10707	0.106577	0.106885	0.106729	0.106691	0.107006	0.107324	0.106991	0.107257	0.109367	0.109314	0.108974	0.109346	0.110163
tci2_wsi3.0_chr_1	4900001	5000000	13566	0.110927	0.110448	0.113644	0.113755	0.112685	0.111472	0.11455	0.115084	0.114336	0.112545	0.1157	0.114419	0.117954	0.116095	0.117072
tci2_wsi3.0_chr_1	5000001	5100000	10718	0.104419	0.10327	0.104115	0.106352	0.106522	0.104664	0.106374	0.109206	0.108736	0.103866	0.106731	0.106772	0.108799	0.108191	0.110023
tci2_wsi3.0_chr_1	5100001	5200000	9983	0.108088	0.106116	0.107393	0.107945	0.109332	0.108694	0.109821	0.109652	0.110471	0.106799	0.108334	0.109636	0.108338	0.110282	0.109705
tci2_wsi3.0_chr_1	5200001	5300000	8941	0.106899	0.108018	0.107082	0.110847	0.110473	0.108822	0.108218	0.111493	0.111998	0.10794	0.114394	0.112748	0.112265	0.110648	0.11667
tci2_wsi3.0_chr_1	5300001	5400000	8868	0.102067	0.0999225	0.100106	0.106526	0.10571	0.101249	0.102072	0.106372	0.106354	0.0993497	0.104251	0.103965	0.106354	0.104835	0.110667
tci2_wsi3.0_chr_1	5400001	5500000	10356	0.104988	0.10295	0.10165	0.104437	0.103509	0.101897	0.101126	0.102472	0.102227	0.0984449	0.100877	0.100813	0.0994885	0.0990931	0.100102
tci2_wsi3.0_chr_1	5500001	5600000	11276	0.103988	0.101822	0.104799	0.106799	0.106014	0.101083	0.102026	0.106971	0.104707	0.0999761	0.104224	0.10266	0.106024	0.104812	0.107339
tci2_wsi3.0_chr_1	5600001	5700000	13567	0.0935559	0.0921812	0.0937831	0.0956524	0.0966388	0.0940876	0.0943946	0.0969699	0.0981774	0.0925274	0.0959495	0.0967175	0.0958582	0.0967682	0.100295
tci2_wsi3.0_chr_1	5700001	5800000	9070	0.087112	0.0861691	0.0862914	0.0881939	0.0895339	0.0860124	0.0854352	0.0889511	0.0898787	0.0841489	0.0888887	0.0886346	0.0868207	0.0892688	0.0915323
tci2_wsi3.0_chr_1	5800001	5900000	12428	0.102536	0.100551	0.100703	0.102637	0.103211	0.100854	0.101903	0.102812	0.103036	0.0994801	0.101455	0.101798	0.102005	0.102114	0.103922
tci2_wsi3.0_chr_1	5900001	6000000	8536	0.109097	0.11172	0.111103	0.113652	0.112979	0.113005	0.111748	0.113263	0.11277	0.113891	0.117752	0.116796	0.116215	0.11647	0.117454
tci2_wsi3.0_chr_1	6000001	6100000	13257	0.101638	0.0995895	0.102588	0.104601	0.104275	0.100377	0.102563	0.10512	0.104161	0.100083	0.104661	0.102523	0.106397	0.104776	0.107387
tci2_wsi3.0_chr_1	6100001	6200000	9088	0.108404	0.108153	0.108901	0.111545	0.111609	0.107635	0.108379	0.111566	0.111524	0.107445	0.110305	0.1112	0.111666	0.113004	0.116158
tci2_wsi3.0_chr_1	6200001	6300000	9125	0.0955808	0.0929739	0.0937461	0.0970377	0.0959655	0.0928419	0.0946398	0.0984862	0.0977981	0.0920434	0.095031	0.0937899	0.0956177	0.0952713	0.0981104
tci2_wsi3.0_chr_1	6300001	6400000	8093	0.0997374	0.0972271	0.0987623	0.10361	0.103309	0.0980956	0.10162	0.105362	0.10392	0.09848	0.103385	0.103219	0.104981	0.105572	0.11165
tci2_wsi3.0_chr_1	6400001	6500000	9325	0.0862646	0.0873625	0.0872894	0.082562	0.0840828	0.0897539	0.0891085	0.084268	0.0854416	0.0897473	0.0849002	0.0862887	0.0849759	0.0861555	0.0814759
tci2_wsi3.0_chr_1	6500001	6600000	11752	0.104335	0.104062	0.103013	0.104824	0.104103	0.103911	0.104262	0.104826	0.103778	0.102023	0.105282	0.103331	0.104611	0.103562	0.105111
tci2_wsi3.0_chr_1	6600001	6700000	13501	0.092861	0.0921932	0.092221	0.0920795	0.0939618	0.0931681	0.093223	0.0938087	0.0961594	0.091595	0.0922135	0.0942241	0.0920232	0.0946752	0.0945183
tci2_wsi3.0_chr_1	6700001	6800000	10275	0.0996382	0.0983398	0.100401	0.101719	0.10322	0.0973941	0.0980082	0.10076	0.102919	0.0970418	0.0982308	0.101142	0.100953	0.102052	0.103993
tci2_wsi3.0_chr_1	6800001	6900000	5944	0.0944848	0.0939001	0.0921233	0.0991128	0.0957636	0.0942657	0.0917057	0.0999884	0.0958712	0.0904425	0.0978677	0.0973379	0.0961434	0.093401	0.100497
tci2_wsi3.0_chr_1	6900001	7000000	5179	0.0998486	0.0961153	0.0981327	0.096057	0.10143	0.0970851	0.0984952	0.096979	0.101477	0.0935501	0.0913684	0.0970422	0.0932039	0.0982786	0.0967795
tci2_wsi3.0_chr_1	7000001	7100000	8892	0.0937757	0.0936803	0.0946412	0.0955519	0.0937766	0.0963031	0.0960631	0.0990807	0.0977784	0.0947922	0.0979574	0.0967176	0.0977142	0.0985582	0.100463
tci2_wsi3.0_chr_1	7100001	7200000	7310	0.0969223	0.0947905	0.0958745	0.1	0.0992104	0.0953691	0.096351	0.10129	0.100464	0.0933996	0.0967705	0.0994879	0.0988278	0.0992839	0.101907
tci2_wsi3.0_chr_1	7200001	7300000	13553	0.083949	0.0860664	0.0858411	0.0819483	0.0835549	0.0834403	0.0835338	0.0797652	0.0818081	0.0853011	0.0823375	0.0838345	0.082009	0.0838082	0.0805421
tci2_wsi3.0_chr_1	7300001	7400000	8707	0.0843384	0.0844351	0.0829567	0.0858567	0.085493	0.0852926	0.084099	0.0867423	0.0863718	0.0829236	0.0851687	0.0855076	0.0842138	0.0841753	0.0870666
tci2_wsi3.0_chr_1	7400001	7500000	10769	0.112786	0.108187	0.109817	0.113449	0.114509	0.110733	0.111065	0.115001	0.115565	0.105958	0.110929	0.111229	0.111571	0.112122	0.116212
tci2_wsi3.0_chr_1	7500001	7600000	4287	0.0934488	0.0870943	0.0879982	0.0956608	0.0972337	0.0888033	0.0892571	0.0971088	0.0996743	0.081786	0.0891501	0.0924913	0.0904234	0.0927984	0.103167
tci2_wsi3.0_chr_1	7600001	7700000	9261	0.0875083	0.0873984	0.0887927	0.0891072	0.0890033	0.0885886	0.0895438	0.0907955	0.0897016	0.0889344	0.0908286	0.0899469	0.0908342	0.0907895	0.0913217
tci2_wsi3.0_chr_1	7700001	7800000	8686	0.0994252	0.0986918	0.102961	0.10694	0.106993	0.0985288	0.100562	0.105691	0.104465	0.10097	0.104781	0.105513	0.105802	0.108784	0.11064
tci2_wsi3.0_chr_1	7800001	7900000	10625	0.113699	0.115576	0.11446	0.117266	0.116324	0.11491	0.114785	0.116287	0.11573	0.113991	0.116679	0.116737	0.11554	0.115503	0.119025
tci2_wsi3.0_chr_1	7900001	8000000	11807	0.0999755	0.0995975	0.0988875	0.100535	0.101695	0.1023	0.102205	0.104075	0.105306	0.100579	0.102689	0.103768	0.101347	0.103208	0.104246
tci2_wsi3.0_chr_1	8000001	8100000	12755	0.0916863	0.0909987	0.0923937	0.092079	0.0901983	0.0929399	0.094854	0.0949106	0.092308	0.0924325	0.093826	0.0918241	0.0947055	0.092534	0.0932317
tci2_wsi3.0_chr_1	8100001	8200000	11843	0.0969884	0.0937176	0.0954013	0.0987135	0.0957441	0.0973619	0.0997486	0.10226	0.0996239	0.0963838	0.100501	0.0970556	0.101339	0.0988074	0.0997951
tci2_wsi3.0_chr_1	8200001	8300000	7734	0.0969384	0.0947201	0.093492	0.0963511	0.097565	0.104355	0.102533	0.105847	0.106686	0.102806	0.106388	0.106418	0.104666	0.105771	0.106999
tci2_wsi3.0_chr_1	8300001	8400000	12737	0.102045	0.0999867	0.101856	0.103642	0.104293	0.104013	0.105997	0.108536	0.108839	0.103646	0.105532	0.106608	0.108257	0.108769	0.11004
tci2_wsi3.0_chr_1	8400001	8500000	13235	0.102235	0.099957	0.100874	0.101035	0.101687	0.103138	0.104596	0.105753	0.106525	0.10167	0.103468	0.104082	0.104692	0.10485	0.105881
tci2_wsi3.0_chr_1	8500001	8600000	11765	0.07584	0.0777194	0.0767233	0.0755603	0.0768388	0.0759569	0.0749419	0.0739828	0.0751781	0.0761209	0.0755723	0.0766629	0.0747926	0.0758971	0.0741989
tci2_wsi3.0_chr_1	8600001	8700000	13584	0.0943175	0.0924633	0.093804	0.0955645	0.0944997	0.0936248	0.094519	0.096658	0.0953369	0.0923431	0.0959109	0.0944803	0.0977409	0.0961071	0.0977747
tci2_wsi3.0_chr_1	8700001	8800000	8630	0.0960364	0.0931257	0.0906029	0.0935286	0.0979246	0.0940699	0.0923303	0.0946713	0.0989595	0.0900118	0.0911277	0.094987	0.089743	0.094446	0.0958824
tci2_wsi3.0_chr_1	8800001	8900000	11957	0.0954822	0.0938592	0.0959093	0.100819	0.0995414	0.0948815	0.098004	0.100724	0.10048	0.0945162	0.0989865	0.0984556	0.100604	0.100798	0.105646
tci2_wsi3.0_chr_1	8900001	9000000	4818	0.0950595	0.0897588	0.0928732	0.0975631	0.0946449	0.0960294	0.0978298	0.102851	0.0987231	0.0925999	0.0993783	0.0958153	0.0976547	0.0959853	0.101426
tci2_wsi3.0_chr_1	9000001	9100000	9599	0.0983405	0.0969287	0.0979086	0.0990551	0.0965391	0.0959659	0.0968361	0.098744	0.0960271	0.0942382	0.0965965	0.0929569	0.0972438	0.0946637	0.095787
tci2_wsi3.0_chr_1	9100001	9200000	8190	0.102316	0.101605	0.100429	0.103526	0.104303	0.102272	0.102201	0.105849	0.105529	0.101881	0.104938	0.106348	0.102929	0.103947	0.105453
tci2_wsi3.0_chr_1	9200001	9300000	10317	0.0987007	0.0964676	0.0991712	0.100125	0.101153	0.0968407	0.100009	0.100701	0.101448	0.0971917	0.0986635	0.0987196	0.102513	0.102026	0.102374
tci2_wsi3.0_chr_1	9300001	9400000	11509	0.115177	0.112266	0.113262	0.11552	0.115525	0.113217	0.113846	0.115728	0.117399	0.110463	0.112846	0.114132	0.114016	0.115307	0.116532
tci2_wsi3.0_chr_1	9400001	9500000	12337	0.0957707	0.0957309	0.0963282	0.0986199	0.0982075	0.097793	0.0980732	0.101361	0.0997065	0.0968857	0.100672	0.0995115	0.102159	0.0999153	0.102873
tci2_wsi3.0_chr_1	9500001	9600000	8104	0.079188	0.0787043	0.0767946	0.0797118	0.0795697	0.0785291	0.0775504	0.0802122	0.0807011	0.0761436	0.0808402	0.0805976	0.0788271	0.0785551	0.0819599
tci2_wsi3.0_chr_1	9600001	9700000	9743	0.0983849	0.099189	0.0990692	0.0994336	0.100511	0.100313	0.0991702	0.0990488	0.10072	0.100599	0.0991249	0.101614	0.100082	0.102545	0.100387
tci2_wsi3.0_chr_1	9700001	9800000	9973	0.0957999	0.0907211	0.0914765	0.0916873	0.089798	0.0923245	0.0943223	0.0935293	0.0917501	0.0903398	0.0905514	0.0890203	0.0920747	0.0907295	0.0923891
tci2_wsi3.0_chr_1	9800001	9900000	11824	0.103188	0.102528	0.103344	0.107125	0.106242	0.103716	0.104177	0.108212	0.106714	0.10178	0.106381	0.106906	0.107733	0.107401	0.109462
tci2_wsi3.0_chr_1	9900001	10000000	8350	0.0914721	0.0912937	0.0872316	0.0927873	0.0936501	0.0937796	0.0914061	0.0982186	0.0979511	0.0902084	0.0959263	0.095571	0.0932233	0.0944077	0.100705
tci2_wsi3.0_chr_1	10000001	10100000	15922	0.0771384	0.0778587	0.0779058	0.0759638	0.0769466	0.0778184	0.0785412	0.0764389	0.0778665	0.0776914	0.0762109	0.0778519	0.0771143	0.0777445	0.0757388
tci2_wsi3.0_chr_1	10100001	10200000	13065	0.0827207	0.081099	0.0834862	0.0833382	0.0834928	0.0810118	0.0832868	0.0830815	0.0828668	0.081005	0.0815001	0.0809764	0.084087	0.0841993	0.0832872
tci2_wsi3.0_chr_1	10200001	10300000	8885	0.0879072	0.0853534	0.0855095	0.0909355	0.0910067	0.0888368	0.0878987	0.0943436	0.0947771	0.0846829	0.0907526	0.0911743	0.0901444	0.0914354	0.0980249
tci2_wsi3.0_chr_1	10300001	10400000	13614	0.0966979	0.0970346	0.0973998	0.0994849	0.0993999	0.0997402	0.10025	0.103377	0.104449	0.0995283	0.104446	0.104329	0.104164	0.105607	0.107593
tci2_wsi3.0_chr_1	10400001	10500000	9037	0.108009	0.106696	0.108146	0.108047	0.109133	0.107731	0.110733	0.108933	0.112074	0.109353	0.109007	0.11082	0.110361	0.11192	0.110699
tci2_wsi3.0_chr_1	10500001	10600000	13255	0.0911274	0.0904036	0.0913928	0.0897637	0.0909781	0.0929917	0.094229	0.092767	0.0940112	0.0933048	0.0918684	0.0926896	0.0926617	0.0932705	0.0922759
tci2_wsi3.0_chr_1	10600001	10700000	17525	0.0939654	0.0928239	0.0938759	0.0948475	0.093751	0.095347	0.0956539	0.0976912	0.0962696	0.0948085	0.0969004	0.0961897	0.0975846	0.0971696	0.0983263
tci2_wsi3.0_chr_1	10700001	10800000	10534	0.0937375	0.0931525	0.0931555	0.0968764	0.0976432	0.0936295	0.0941607	0.0971441	0.0969647	0.0916029	0.0945476	0.0942321	0.0950875	0.0951358	0.0981853
tci2_wsi3.0_chr_1	10800001	10900000	10869	0.0455497	0.0461702	0.0457109	0.044197	0.0440652	0.0458224	0.0453244	0.0438453	0.0440833	0.0460504	0.0441775	0.0445581	0.0443782	0.044121	0.0429542
tci2_wsi3.0_chr_1	10900001	11000000	11786	0.0953488	0.0918633	0.0946187	0.0962142	0.0971349	0.0911555	0.0942236	0.0952203	0.0972768	0.0908153	0.0929815	0.0949014	0.0943021	0.09666	0.097734
tci2_wsi3.0_chr_1	11000001	11100000	12690	0.0816582	0.0828997	0.0813613	0.084571	0.0830853	0.0837905	0.0835877	0.0861597	0.0842269	0.0830676	0.0868182	0.0852082	0.085873	0.0854913	0.0865426
tci2_wsi3.0_chr_1	11100001	11200000	15847	0.0898244	0.0882078	0.0897907	0.0906556	0.0905559	0.0874226	0.0891671	0.089943	0.0900867	0.0865649	0.0879688	0.0884284	0.0895842	0.0894791	0.0899408
tci2_wsi3.0_chr_1	11200001	11300000	10960	0.0963159	0.0953409	0.0938142	0.0987909	0.0986667	0.0955601	0.0933728	0.0988111	0.0984256	0.0922533	0.098158	0.0978645	0.0961352	0.0961179	0.100487
tci2_wsi3.0_chr_1	11300001	11400000	14399	0.0974722	0.0975009	0.0960758	0.0993745	0.0987624	0.099306	0.0979444	0.101486	0.101179	0.0967023	0.101186	0.100748	0.0994434	0.0985149	0.101368
tci2_wsi3.0_chr_1	11400001	11500000	8653	0.0912709	0.0898359	0.0923393	0.094793	0.0950795	0.087812	0.0909422	0.0934306	0.0932481	0.0878097	0.0903374	0.0917742	0.0933162	0.0925091	0.095069
tci2_wsi3.0_chr_1	11500001	11600000	12403	0.0969172	0.0974988	0.0964152	0.0978851	0.0972062	0.0983273	0.0969935	0.0981608	0.0966733	0.0960948	0.0991464	0.0988013	0.0975229	0.0970208	0.098169
tci2_wsi3.0_chr_1	11600001	11700000	7787	0.093197	0.0909534	0.0909048	0.0951493	0.0942939	0.0918359	0.092513	0.095212	0.0966217	0.0898913	0.0954996	0.0953263	0.0945009	0.0950568	0.100382
tci2_wsi3.0_chr_1	11700001	11800000	9461	0.0932749	0.0932884	0.0950078	0.0963638	0.0977843	0.0904541	0.0921175	0.0937155	0.0946848	0.0918976	0.0939362	0.0951662	0.0961391	0.0975082	0.0986552
tci2_wsi3.0_chr_1	11800001	11900000	5280	0.149141	0.13918	0.141643	0.140179	0.134509	0.136125	0.138279	0.137146	0.132155	0.120519	0.120691	0.11596	0.122431	0.117587	0.115374
tci2_wsi3.0_chr_1	11900001	12000000	3892	0.0934075	0.0749681	0.0752668	0.079247	0.077348	0.0799651	0.0785199	0.0843512	0.0823502	0.0667766	0.0710953	0.0681791	0.0702288	0.0705301	0.0717344
tci2_wsi3.0_chr_1	12000001	12100000	3513	0.0764631	0.0785349	0.0784158	0.0764752	0.0767633	0.080959	0.0814863	0.0784195	0.0790149	0.0845546	0.0818437	0.0828304	0.0813744	0.0816286	0.079124
tci2_wsi3.0_chr_1	12100001	12200000	12446	0.0859075	0.082816	0.0839346	0.0881323	0.0861367	0.0819594	0.0846114	0.0880349	0.085995	0.0816371	0.0852861	0.084199	0.0868174	0.0852451	0.0885488
